               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.090286,            0.022042,            0.062234,            0.074391,             0.34046,            0.066426,            0.021324,            0.073816,            0.011207,            0.051366,             0.00075,             0.00075,             0.09325
                   1,            0.062914,            0.021714,             0.05271,             0.49489,              0.3441,             0.19556,            0.098843,            0.056808,           0.0087191,            0.041807,           0.0015097,           0.0015097,             0.08641
                   2,             0.05327,             0.01976,            0.046319,             0.37888,             0.35008,              0.2662,             0.14459,              0.0574,           0.0078399,            0.034481,            0.002268,            0.002268,            0.079568
                   3,             0.05124,            0.018625,            0.040017,             0.58223,             0.47084,             0.49466,             0.27385,            0.048557,           0.0069808,            0.026035,           0.0030239,           0.0030239,            0.072724
                   4,            0.048498,            0.017489,            0.033179,             0.70075,             0.50734,             0.60899,             0.35524,            0.046816,           0.0071064,            0.018675,           0.0037766,           0.0037766,            0.065877
                   5,            0.046958,            0.017444,            0.027874,             0.61871,             0.67296,             0.68003,             0.36328,            0.049134,           0.0068927,            0.014598,           0.0045248,           0.0045248,            0.059025
                   6,            0.048886,            0.016778,            0.024302,             0.61528,             0.59705,             0.61312,               0.321,            0.050114,           0.0065251,            0.013765,           0.0052677,           0.0052677,            0.052168
                   7,            0.049674,            0.016555,            0.022525,             0.60732,             0.68001,              0.6613,              0.3539,            0.050844,           0.0066342,            0.014068,           0.0060042,           0.0060042,            0.045304
                   8,            0.047308,            0.016675,             0.02158,             0.64272,             0.53513,             0.61296,             0.26667,            0.050225,           0.0072192,            0.014352,           0.0067334,           0.0067334,            0.038433
                   9,            0.047316,            0.017067,            0.021287,             0.52613,             0.46044,              0.4536,             0.22274,            0.052592,           0.0077601,            0.023263,           0.0074544,           0.0074544,            0.031554
                  10,            0.045986,            0.017351,            0.022352,             0.56232,             0.40628,              0.4846,             0.23588,            0.056346,           0.0084622,            0.020902,           0.0081661,           0.0081661,            0.024666
                  11,            0.045539,            0.017422,            0.021442,               0.686,             0.49333,             0.54135,             0.26323,            0.052456,           0.0078769,            0.015656,           0.0088676,           0.0088676,            0.017768
                  12,            0.045276,            0.017967,            0.022365,             0.57709,             0.40714,             0.42709,             0.21015,            0.057736,            0.008262,            0.028875,           0.0095581,           0.0095581,            0.010858
                  13,            0.044557,            0.017545,            0.020441,             0.62379,             0.54437,             0.57423,             0.29888,            0.056472,           0.0076534,            0.018836,           0.0096299,           0.0096299,           0.0096299
                  14,             0.04394,            0.016997,            0.019186,             0.75238,             0.60447,             0.70203,             0.34236,            0.050649,           0.0073656,            0.010284,           0.0096299,           0.0096299,           0.0096299
                  15,            0.043171,             0.01751,            0.020962,             0.61226,              0.6539,             0.63285,             0.33072,            0.048056,           0.0071604,            0.012052,           0.0095717,           0.0095717,           0.0095717
                  16,            0.041684,            0.016885,            0.019329,             0.71328,             0.69708,             0.77397,             0.42695,            0.043468,           0.0064382,            0.010341,           0.0095095,           0.0095095,           0.0095095
                  17,            0.040416,            0.016568,            0.017614,              0.6986,             0.70783,             0.73543,             0.42197,            0.043624,           0.0066402,           0.0090418,           0.0094434,           0.0094434,           0.0094434
                  18,            0.039198,            0.016489,            0.017749,             0.60326,              0.6643,              0.6677,             0.38317,            0.047437,            0.007277,            0.011369,           0.0093733,           0.0093733,           0.0093733
                  19,            0.040639,            0.016665,            0.018767,             0.61514,             0.55364,             0.59433,             0.30292,            0.053726,           0.0075155,            0.017909,           0.0092995,           0.0092995,           0.0092995
                  20,            0.040232,            0.016636,            0.016347,             0.82636,               0.713,             0.80615,             0.49746,            0.040415,            0.006187,           0.0068357,           0.0092219,           0.0092219,           0.0092219
                  21,            0.038556,            0.015986,             0.01538,             0.74837,             0.79771,              0.8383,             0.52736,             0.03849,           0.0058068,           0.0066353,           0.0091406,           0.0091406,           0.0091406
                  22,            0.037348,             0.01544,            0.013991,             0.77374,             0.81524,             0.84839,             0.53774,            0.040222,           0.0057275,           0.0062412,           0.0090557,           0.0090557,           0.0090557
                  23,            0.037735,            0.015641,               0.014,             0.78902,             0.83355,             0.86339,             0.50688,            0.039072,           0.0056883,           0.0054181,           0.0089673,           0.0089673,           0.0089673
                  24,            0.036476,            0.015343,            0.012862,             0.70732,             0.71921,             0.76977,             0.40929,            0.042494,           0.0062379,            0.009811,           0.0088755,           0.0088755,           0.0088755
