               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.088929,            0.024805,            0.058706,            0.075041,            0.093811,            0.059949,             0.02226,             0.07065,            0.012558,            0.045134,             0.00075,             0.00075,             0.09325
                   1,            0.062254,            0.022374,            0.047218,             0.22752,              0.3082,             0.12809,            0.060639,            0.062067,           0.0092891,            0.038254,           0.0015097,           0.0015097,             0.08641
                   2,            0.054398,            0.020312,            0.041462,             0.35005,             0.40155,             0.23863,             0.11307,            0.059458,           0.0081282,            0.026941,            0.002268,            0.002268,            0.079568
                   3,            0.052392,            0.019253,            0.036214,              0.2707,             0.42843,             0.28304,             0.13429,            0.051256,           0.0077768,            0.021892,           0.0030239,           0.0030239,            0.072724
                   4,            0.052505,            0.018127,            0.031362,             0.33679,             0.50116,             0.38054,             0.17592,            0.054263,            0.007918,            0.021878,           0.0037766,           0.0037766,            0.065877
                   5,            0.049986,             0.01827,            0.028199,             0.39679,             0.31675,             0.31108,             0.13937,            0.059667,           0.0079497,            0.021438,           0.0045248,           0.0045248,            0.059025
                   6,            0.052194,            0.017539,            0.025132,             0.46863,             0.53414,             0.48175,             0.20472,            0.063396,            0.006814,            0.015352,           0.0052677,           0.0052677,            0.052168
                   7,            0.052798,            0.017581,            0.025013,             0.36311,             0.42822,             0.33558,             0.14085,             0.05589,           0.0077988,            0.016685,           0.0060042,           0.0060042,            0.045304
                   8,            0.050744,            0.017907,            0.023513,             0.46064,             0.40865,             0.38085,             0.13338,            0.057625,           0.0092675,            0.018391,           0.0067334,           0.0067334,            0.038433
                   9,            0.050388,            0.017949,            0.022568,             0.46083,             0.43461,             0.39198,             0.16642,            0.054307,           0.0079955,            0.018075,           0.0074544,           0.0074544,            0.031554
                  10,            0.050462,            0.018811,            0.025593,             0.39517,             0.19522,             0.12015,            0.045087,            0.075756,           0.0093179,             0.03626,           0.0081661,           0.0081661,            0.024666
                  11,            0.051955,            0.020135,             0.02906,             0.28001,             0.33006,             0.23067,            0.079093,            0.065991,           0.0093246,            0.022711,           0.0088676,           0.0088676,            0.017768
                  12,            0.051642,             0.01971,             0.02581,             0.43852,             0.29845,             0.26719,             0.10944,            0.065325,           0.0087503,            0.024634,           0.0095581,           0.0095581,            0.010858
                  13,            0.050411,            0.019314,             0.02295,             0.44489,             0.40499,             0.30903,             0.11032,            0.059824,           0.0091999,            0.017974,           0.0096299,           0.0096299,           0.0096299
                  14,            0.048187,            0.018637,            0.020953,             0.51854,             0.45218,             0.45407,             0.18949,            0.049203,           0.0084518,            0.010776,           0.0096299,           0.0096299,           0.0096299
                  15,             0.04689,             0.01875,            0.020684,             0.47906,             0.44545,             0.41422,             0.19258,            0.050523,           0.0084391,            0.014342,           0.0095717,           0.0095717,           0.0095717
                  16,            0.046543,             0.01904,            0.021872,             0.31087,             0.30727,                0.25,             0.11085,            0.071919,           0.0078009,            0.025886,           0.0095095,           0.0095095,           0.0095095
                  17,            0.046273,            0.018718,            0.021867,             0.58999,             0.58081,             0.58635,             0.29531,            0.048487,           0.0073582,           0.0087329,           0.0094434,           0.0094434,           0.0094434
                  18,            0.044526,            0.018458,            0.019714,             0.53644,              0.6186,             0.58934,             0.27233,             0.05132,           0.0075274,           0.0089534,           0.0093733,           0.0093733,           0.0093733
