               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.021528,            0.010795,           0.0037022,             0.94566,             0.97909,             0.97859,             0.79145,            0.022743,           0.0035268,          0.00046512,             0.00075,             0.00075,             0.09325
                   1,            0.021937,            0.010342,           0.0031466,             0.96527,             0.96248,              0.9785,             0.78788,            0.023079,           0.0035317,          0.00036604,           0.0015097,           0.0015097,             0.08641
                   2,            0.021137,            0.010447,           0.0032639,             0.95426,             0.96555,             0.97342,             0.78902,            0.022454,            0.003518,          0.00040118,            0.002268,            0.002268,            0.079568
                   3,            0.023042,            0.010656,           0.0038954,             0.96336,              0.9652,             0.97242,             0.77118,            0.024801,           0.0035688,          0.00038909,           0.0030239,           0.0030239,            0.072724
                   4,            0.023112,            0.010702,            0.003928,             0.96344,             0.95919,             0.97778,             0.77816,            0.022748,           0.0035678,           0.0003993,           0.0037766,           0.0037766,            0.065877
                   5,            0.023645,             0.01102,           0.0036935,             0.96651,             0.95207,             0.97264,              0.7618,            0.024062,           0.0037612,          0.00053073,           0.0045248,           0.0045248,            0.059025
                   6,             0.02456,            0.011023,           0.0040286,             0.95561,             0.96146,             0.97228,             0.73937,             0.02722,           0.0037192,          0.00090421,           0.0052677,           0.0052677,            0.052168
                   7,            0.026475,            0.010932,           0.0039445,             0.97291,              0.9517,             0.97823,             0.73996,            0.025371,           0.0037791,          0.00074431,           0.0060042,           0.0060042,            0.045304
                   8,            0.026343,             0.01101,           0.0037035,             0.95035,             0.93944,             0.96709,             0.71262,            0.026752,           0.0040376,           0.0015135,           0.0067334,           0.0067334,            0.038433
                   9,            0.027811,            0.011412,           0.0047746,             0.86581,             0.95351,             0.94934,             0.70572,            0.027097,           0.0042967,           0.0016031,           0.0074544,           0.0074544,            0.031554
                  10,             0.02919,            0.011992,           0.0055607,             0.92041,               0.897,              0.9562,             0.68778,            0.028836,           0.0043906,            0.001358,           0.0081661,           0.0081661,            0.024666
                  11,            0.029763,             0.01249,           0.0058025,             0.88933,              0.9092,              0.9381,             0.64504,            0.031945,           0.0047428,           0.0015775,           0.0088676,           0.0088676,            0.017768
                  12,            0.030937,            0.013905,           0.0079055,              0.8421,             0.84639,              0.9113,             0.57616,            0.034727,           0.0053418,           0.0030291,           0.0095581,           0.0095581,            0.010858
                  13,            0.032307,            0.013355,           0.0069089,             0.87974,             0.85005,             0.90675,             0.60036,            0.034835,           0.0049992,           0.0022499,           0.0096299,           0.0096299,           0.0096299
                  14,            0.031643,            0.013192,           0.0071124,             0.89406,             0.83338,             0.91813,              0.6325,             0.03361,           0.0048788,            0.002549,           0.0096299,           0.0096299,           0.0096299
                  15,            0.032479,            0.014504,            0.010615,             0.71833,             0.67325,             0.73893,             0.42381,            0.038951,            0.006303,           0.0077178,           0.0095717,           0.0095717,           0.0095717
                  16,            0.032446,            0.014554,              0.0101,             0.79842,             0.83719,             0.88599,             0.54817,            0.035187,           0.0056221,           0.0030131,           0.0095095,           0.0095095,           0.0095095
                  17,            0.033112,            0.014442,           0.0085232,             0.82164,             0.75398,             0.84582,             0.52741,            0.036741,            0.005991,           0.0054433,           0.0094434,           0.0094434,           0.0094434
                  18,            0.031602,            0.013968,           0.0080939,              0.8346,             0.83841,             0.89822,             0.58232,            0.033232,           0.0053386,           0.0030641,           0.0093733,           0.0093733,           0.0093733
                  19,            0.031916,            0.013712,           0.0081066,             0.73267,             0.69408,             0.76821,             0.42376,            0.035188,           0.0070257,           0.0058706,           0.0092995,           0.0092995,           0.0092995
                  20,            0.031297,            0.013844,           0.0073177,             0.85521,             0.88976,              0.9223,             0.61803,            0.030686,           0.0050217,           0.0017344,           0.0092219,           0.0092219,           0.0092219
                  21,            0.030894,            0.013405,           0.0075982,             0.90133,             0.85359,             0.93641,             0.61144,            0.032039,           0.0049945,           0.0028442,           0.0091406,           0.0091406,           0.0091406
                  22,             0.03017,            0.013042,           0.0069727,             0.89646,             0.89939,             0.94254,             0.61392,            0.030635,           0.0047504,           0.0018523,           0.0090557,           0.0090557,           0.0090557
                  23,            0.029732,            0.012851,           0.0063336,             0.90538,             0.90961,             0.94951,              0.6571,            0.029771,           0.0048258,           0.0018602,           0.0089673,           0.0089673,           0.0089673
                  24,            0.030278,             0.01309,           0.0072121,             0.89018,             0.90837,             0.94702,             0.62912,            0.030244,           0.0046448,           0.0020856,           0.0088755,           0.0088755,           0.0088755
                  25,            0.028455,            0.013154,           0.0072777,             0.84189,              0.9115,             0.92986,             0.63104,            0.030002,           0.0048585,            0.001554,           0.0087804,           0.0087804,           0.0087804
                  26,            0.028559,            0.012799,           0.0062948,             0.85704,             0.89974,             0.92918,              0.6361,            0.030924,           0.0049003,           0.0019078,            0.008682,            0.008682,            0.008682
                  27,            0.030326,            0.013186,           0.0067354,             0.80599,              0.8382,             0.88855,             0.58862,            0.031147,           0.0054823,           0.0035463,           0.0085805,           0.0085805,           0.0085805
                  28,            0.029975,             0.01286,           0.0068748,             0.91353,             0.91393,             0.95162,             0.65621,            0.030488,           0.0045649,           0.0013688,           0.0084759,           0.0084759,           0.0084759
                  29,            0.028998,            0.012924,           0.0063817,             0.90981,             0.90686,             0.95448,             0.67346,             0.02829,            0.004454,            0.001112,           0.0083684,           0.0083684,           0.0083684
                  30,             0.02902,            0.012723,           0.0065534,             0.93292,             0.88607,             0.94906,             0.68189,             0.02925,           0.0045458,           0.0014375,           0.0082581,           0.0082581,           0.0082581
                  31,             0.02801,            0.012584,           0.0061999,             0.90274,             0.92382,             0.94614,             0.64551,            0.030557,           0.0046783,           0.0012851,            0.008145,            0.008145,            0.008145
                  32,            0.027421,            0.012514,           0.0058491,             0.91675,             0.87839,              0.9353,             0.66405,            0.030124,           0.0047459,            0.001506,           0.0080294,           0.0080294,           0.0080294
                  33,            0.028325,            0.012296,           0.0059431,             0.91097,             0.90931,             0.95282,             0.70117,            0.027359,           0.0044643,           0.0014301,           0.0079112,           0.0079112,           0.0079112
                  34,            0.027629,              0.0123,            0.005841,             0.88838,             0.91975,             0.94466,             0.68672,            0.027346,           0.0045158,           0.0017066,           0.0077907,           0.0077907,           0.0077907
                  35,              0.0278,            0.012253,           0.0059515,             0.93805,             0.90546,             0.94964,             0.69083,            0.030358,            0.004482,           0.0014994,           0.0076679,           0.0076679,           0.0076679
